"carat","cut","color","clarity","depth","table","price","x","y","z"
1.03,"Ideal","G","SI2",61.8,55,4873,6.5,6.52,4.02
0.32,"Ideal","G","IF",60.5,57,954,4.42,4.44,2.68
0.38,"Ideal","I","VS1",62.3,53.4,703,4.65,4.69,2.91
0.36,"Premium","H","VS1",60.8,59,810,4.62,4.59,2.8
1.07,"Premium","G","VS2",62.9,59,6644,6.52,6.49,4.09
1.01,"Fair","E","SI1",65.1,61,4480,6.27,6.24,4.07
0.56,"Premium","I","VVS1",62.4,56,1698,5.28,5.24,3.28
1,"Very Good","E","SI2",62.4,57,4620,6.33,6.4,3.97
0.27,"Fair","E","VS1",66.4,58,371,3.99,4.02,2.66
0.71,"Ideal","G","VS2",62.4,57,2515,5.69,5.66,3.54
0.4,"Very Good","G","SI1",61.9,55,682,4.71,4.75,2.93
0.51,"Ideal","H","VS1",62.7,54,1438,5.12,5.15,3.22
0.3,"Ideal","F","IF",61.6,58,886,4.28,4.32,2.65
0.5,"Fair","G","VS2",65.1,56,1238,5.02,4.99,3.26
0.78,"Ideal","E","SI1",62.7,55,3067,5.87,5.9,3.69
0.32,"Premium","G","VS2",62,59,720,4.41,4.37,2.72
0.9,"Good","G","VS2",62.1,59,4054,6.02,6.16,3.78
0.33,"Ideal","H","VVS1",62.1,55,965,4.44,4.42,2.75
0.33,"Ideal","H","VS2",61.8,54,539,4.45,4.48,2.76
0.33,"Ideal","E","VS2",62.3,56,723,4.46,4.47,2.78
0.31,"Good","F","VS2",63.7,59,749,4.31,4.26,2.73
0.31,"Ideal","I","IF",62.2,54,652,4.36,4.39,2.72
0.38,"Ideal","H","VVS1",61.2,57,903,4.65,4.67,2.85
0.4,"Very Good","G","VS2",61.9,59,772,4.67,4.7,2.9
0.74,"Ideal","F","VS1",62,57,3593,5.81,5.78,3.6
1.21,"Very Good","I","SI1",63.3,60,4404,6.76,6.69,4.26
0.7,"Ideal","E","VS2",62.2,55,2616,5.72,5.69,3.55
0.76,"Ideal","E","SI2",61.6,55,2680,5.87,5.92,3.63
1.01,"Very Good","G","VS1",60.7,63,6353,6.4,6.38,3.88
0.5,"Fair","D","SI1",65.7,56,1323,5.01,4.97,3.28
0.3,"Good","F","VVS1",63.7,59,965,4.24,4.17,2.68
1.55,"Ideal","G","SI2",60.7,55,9704,7.54,7.51,4.57
1.73,"Very Good","J","VS2",60.9,59,9510,7.72,7.76,4.71
0.7,"Very Good","J","VS2",62,59,1907,5.61,5.65,3.49
0.33,"Very Good","G","SI1",61.2,56,521,4.44,4.46,2.72
1.01,"Very Good","F","SI1",62.3,55,5789,6.38,6.42,3.99
1.02,"Ideal","I","VS2",61.5,57,4662,6.49,6.45,3.98
0.71,"Ideal","E","SI2",59.3,56,2388,5.89,5.84,3.48
0.53,"Ideal","I","IF",62.1,55,1654,5.18,5.22,3.23
1.06,"Ideal","F","VS2",61.4,56,7641,6.56,6.61,4.04
0.55,"Ideal","G","VS1",61.3,57,1667,5.25,5.28,3.23
0.72,"Ideal","F","VS1",61.7,57,2829,5.77,5.74,3.55
1.09,"Very Good","E","SI2",60.9,59,5035,6.61,6.75,4.07
0.73,"Good","H","SI2",60.9,65,2085,5.86,5.69,3.51
0.73,"Very Good","E","VS1",62.3,58,3226,5.72,5.74,3.57
0.3,"Premium","G","VS2",61.6,60,526,4.28,4.33,2.65
0.42,"Very Good","H","SI1",63.2,58,898,4.79,4.77,3.02
1.12,"Good","H","SI1",59.8,61,5094,6.72,6.85,4.06
