"carat","cut","color","clarity","depth","table","price","x","y","z"
0.72,"Very Good","H","VVS2",60.3,56,2771,5.81,5.83,3.51
1.26,"Ideal","H","SI1",61.9,57,8110,6.88,6.93,4.27
0.76,"Ideal","D","VVS2",62.3,57,4150,5.87,5.84,3.65
0.62,"Ideal","G","VVS2",61.6,56,2861,5.48,5.51,3.38
1.02,"Good","H","SI1",63.4,57,4796,6.36,6.42,4.05
0.34,"Premium","F","VS2",62.6,58,880,4.49,4.46,2.8
0.72,"Ideal","G","SI2",62.3,54,2295,5.76,5.79,3.6
1.55,"Premium","J","SI1",62.5,58,7638,7.4,7.36,4.61
0.52,"Very Good","E","VS2",62.5,56,1689,5.15,5.18,3.23
0.9,"Premium","G","VS2",61.1,58,4152,6.22,6.25,3.81
0.53,"Very Good","G","VS1",60.2,55,1722,5.25,5.28,3.17
1.23,"Ideal","J","SI2",63.2,58,5083,6.82,6.74,4.29
0.92,"Very Good","H","VS2",63.1,57,4173,6.2,6.17,3.9
0.32,"Premium","D","VS2",58.8,59,829,4.52,4.49,2.65
1.21,"Good","J","SI2",63.7,55,4269,6.81,6.75,4.32
0.24,"Very Good","D","VVS1",61.5,60,553,3.97,4,2.45
0.55,"Ideal","G","VS2",60.1,55,1634,5.33,5.37,3.22
0.31,"Premium","G","VS2",61.7,58,544,4.32,4.34,2.67
0.3,"Very Good","G","SI1",62.9,59,447,4.24,4.28,2.68
1.21,"Premium","G","VVS2",62.5,55,9757,6.84,6.8,4.26
1.32,"Premium","I","SI2",60.8,58,4704,7.03,7.11,4.3
0.38,"Ideal","I","VS1",61.9,54.1,703,4.64,4.71,2.89
0.42,"Very Good","E","SI1",61.4,54,728,4.83,4.87,2.98
1.09,"Premium","G","SI2",59,58,4456,6.78,6.72,3.98
1.57,"Premium","J","VS2",59.9,57,6629,7.56,7.52,4.52
1.55,"Premium","J","VS2",60.7,59,8055,7.5,7.47,4.54
0.93,"Very Good","G","SI1",61.7,56,4513,6.22,6.26,3.85
1.09,"Ideal","H","SI1",61.9,56,4784,6.61,6.64,4.1
1.5,"Very Good","G","VVS2",60.9,56,12798,7.34,7.37,4.48
0.86,"Ideal","I","VS2",62.1,57,3121,6.1,6.07,3.78
0.54,"Premium","D","SI1",58.3,61,1770,5.38,5.32,3.12
0.5,"Fair","F","VS2",64.9,58,1225,4.99,4.9,3.21
1.01,"Premium","I","SI2",59.4,57,3971,6.59,6.57,3.91
1.21,"Very Good","G","VVS2",60.4,56,9484,6.88,6.92,4.17
0.7,"Very Good","E","VS1",62,60,3109,5.61,5.64,3.49
0.35,"Premium","H","VVS2",62.7,58,906,4.5,4.46,2.81
1.21,"Ideal","I","VS1",61.5,56,6691,6.83,6.87,4.22
1.15,"Very Good","H","SI2",62,58,4743,6.66,6.7,4.14
0.31,"Ideal","F","VVS1",62,55,840,4.34,4.37,2.7
0.31,"Ideal","G","VS2",61.8,53,652,4.35,4.39,2.7
0.7,"Very Good","F","SI1",62.4,56,2196,5.64,5.7,3.54
0.77,"Ideal","H","VS2",60.9,56,3332,5.89,5.94,3.61
0.7,"Ideal","I","VVS2",62.5,54,2276,5.69,5.74,3.57
0.41,"Premium","I","VVS2",62.1,58,827,4.76,4.78,2.96
1.13,"Premium","E","VS1",61.1,59,8353,6.72,6.69,4.1
0.79,"Ideal","D","SI1",61.3,54,3328,5.96,6.01,3.67
1.06,"Very Good","I","SI1",62.8,56,4255,6.47,6.52,4.08
2.01,"Ideal","J","SI1",62.8,58,9725,8.02,7.97,5.02
1.09,"Fair","J","VS2",64.6,58,3443,6.48,6.41,4.16
1.11,"Very Good","G","VS2",62.2,57,6953,6.55,6.6,4.09
1.09,"Ideal","F","VVS2",62.5,55,9668,6.52,6.6,4.1
1.1,"Premium","I","SI1",62.7,57,4805,6.6,6.55,4.12
2,"Ideal","H","SI2",61.5,57,12587,8.04,8,4.93
